pollen_weekly_id,day1,day2,day3,day4,day5,day6,day7,part_father_name_l,part_level,part_name_l,part_seq,start_date,stat_code,stat_id,stat_name_d,stat_name_i
1,0,0,0,0,0,0,0,Polline,1,Amaranthaceae,6,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
2,7,0,0,0,0,0,0,Polline,1,Cannabaceae,16,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
3,0,0,0,0,0,0,0,Compositae,2,Ambrosia,20,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
4,0,0,0,0,0,0,0,Compositae,2,Andere,21,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
5,2,0,0,0,0,0,0,Compositae,2,Artemisia,22,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
6,0,0,0,0,0,0,0,Pinaceae,2,Picea,69,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
7,0,0,0,0,0,0,0,Pinaceae,2,Pinus,70,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
8,0,0,0,0,0,0,0,Plantaginaceae,2,Plantago,72,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
9,1,0,0,0,0,0,0,Polline,1,Poaceae,75,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
10,0,0,0,0,0,0,0,Polline,1,Polygonaceae,76,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
11,46,0,0,0,0,0,0,Polline,1,Urticaceae,92,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
12,0,0,0,0,0,0,0,Polline,1,"Andere Pollen",96,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
13,0,1,0,0,0,0,0,Polline,1,"Nicht Identifizierte Pollen",97,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
14,20,0,0,0,0,0,0,Spore,1,Alternaria,99,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
15,1,0,0,0,0,0,0,Spore,1,Epicoccum,100,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
16,0,5,0,0,0,0,0,Spore,1,Pithomyces,101,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
17,0,0,0,0,0,0,0,Spore,1,Pleospora,102,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
18,1,0,0,0,0,0,0,Spore,1,Polythrincium,103,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
19,0,0,0,0,0,0,0,Spore,1,Torula,105,"2017-08-21 00:00:00",BZ2,1,Bozen,Bolzano
